filename,text,voice,espeak_voice,route,seconds,rms,phonemes
names.wav,Kwabena went to Achimota and met the Okuapenhene at Nyankpani.,Grace,en-gh,"44,321-word Ghanaian-only lexicon, lang=en-gh",4.02,0.077,kwabˈɪna wɛnt tʊ ˌat‍ʃimˈota and mˈɛt ða ˌokwapɛnhˈɛnɛ at njaŋkpˈani
news.wav,"The Bank of Ghana raised the policy rate, citing pressure on the cedi.",Grace,en-gh,"44,321-word Ghanaian-only lexicon, lang=en-gh",3.99,0.079,ða bˈaŋk ɒv ɡˈanə ɾˈezd ða pˈɒlɪsi ɾˈet sˈa‍ɪtɪŋ pɾˈɛʃəɹ onða sˈiːdi
english.wav,The convention discussed inflationary policy yesterday afternoon.,Grace,en-gh,"44,321-word Ghanaian-only lexicon, lang=en-gh",4.15,0.079,ða kənvˈɛnʃən diskˈʌst ɪnflˈeʃənˌɛɾi pˈɒlɪsi jˈɛstədˌe ˌaftənˈuːn
mixed.wav,Yaw Mensah drove from Adenta through Madina to Kotoka.,Grace,en-gh,"44,321-word Ghanaian-only lexicon, lang=en-gh",3.34,0.081,jˈaw mˈensa dɾˈov fɾʌm adˈɛnta θɾuː madˈina tə kotˈoka
question.wav,Have you told Ama that the meeting at Ridge is postponed?,Grace,en-gh,"44,321-word Ghanaian-only lexicon, lang=en-gh",3.35,0.080,hav juː tˈold ˈama ðatða mˈiːtɪŋ at ɾˈɪd‍ʒ ɪz postpˈond
