filename,text,route,voice,seconds,rms,phonemes
1.kokoro.wav,"Following his installation, he has assumed the stool name Nii Otanka Okaija Akraman.",kokoro,Grace,5.47,0.076,fˈɑːlo‍ʊɪŋ hɪz ˌɪnstəlˈe‍ɪʃən hiː hɐz ɐsˈuːmd ðə stˈuːl nˈe‍ɪm nˈɪʲa‍ɪʲ ɑːtˈæŋkə ɑːkˈe‍ɪd‍ʒə ˈækɹæmən
1.before.wav,"Following his installation, he has assumed the stool name Nii Otanka Okaija Akraman.",before,Grace,5.51,0.077,fˈɒlə‍ʊɪŋ hɪz ˌɪnstəlˈe‍ɪʃən hiː hɐz ɐsjˈuːmd ðə stˈuːl nˈe‍ɪm nˈiːʲ otˈɑːŋkɑːɹ ˌokɑːɹˈid‍ʒɑːɹ ɑːkɹˈɑːmɑːn
1.after.wav,"Following his installation, he has assumed the stool name Nii Otanka Okaija Akraman.",after,Grace,5.51,0.077,fˈɒlə‍ʊɪŋ hɪz ˌɪnstəlˈe‍ɪʃən hiː hɐz ɐsjˈuːmd ðə stˈuːl nˈe‍ɪm nˈiːʲ otˈaŋka ˌokaˈid‍ʒa akɹˈaman
2.kokoro.wav,Kwabena went to Achimota and met the Okuapenhene at Nyankpani.,kokoro,Grace,4.33,0.077,kwˈe‍ɪbnə wɛnt tʊ ɐt‍ʃɪmˈo‍ʊɾə ænd mˈɛt ðɪʲ ˈo‍ʊkjuːˌe‍ɪpənhˌiːn æt nˌa‍ɪɐŋkpˈɑːni
2.before.wav,Kwabena went to Achimota and met the Okuapenhene at Nyankpani.,before,Grace,4.33,0.078,kwɑːbˈɪnɑː wɛnt tʊ ˌɑːt‍ʃimˈotɑː and mˈɛt ðɪʲ ˌokwɑːpɛnhˈɛnɛ at njɑːŋkpˈɑːni
2.after.wav,Kwabena went to Achimota and met the Okuapenhene at Nyankpani.,after,Grace,4.33,0.078,kwabˈɪna wɛnt tʊ ˌat‍ʃimˈota and mˈɛt ðɪʲ ˌokwapɛnhˈɛnɛ at njaŋkpˈani
3.kokoro.wav,Yaw Mensah and Akosua Boateng arrived with Nana Addo.,kokoro,Grace,3.59,0.078,jˈɔː mˈɛnsə ænd ˈækəsˌuːə bo‍ʊtˈɛŋ ɚɹˈa‍ɪvd wɪð nˈɑːnə ˈædo‍ʊ
3.before.wav,Yaw Mensah and Akosua Boateng arrived with Nana Addo.,before,Grace,3.65,0.077,jˈɑːw mˈensɑː and ˌɑːkosˈuɑː buˈɑːteŋ ɐɹˈa‍ɪvd wɪð nˈɑːnɑːɹ ˈɑːdo
3.after.wav,Yaw Mensah and Akosua Boateng arrived with Nana Addo.,after,Grace,3.65,0.077,jˈaw mˈensa and ˌakosˈua buˈateŋ ɐɹˈa‍ɪvd wɪð nˈana ˈado
